,Name,Link,Size of Company
0,Amazon,http://www.amazon.com,"10,001+ employees"
1,None,none,NONE
2,Apple,http://www.apple.com/,"10,001+ employees"
3,HR Multinational Corp,https://www.hrmultinational-corp.com/,201-500 employees
4,LinkedIn,https://lnkd.in/Jobs1,"10,001+ employees"
5,McDonald's,https://corporate.mcdonalds.com/,"10,001+ employees"
6,None,none,NONE
7,ClearanceJobs,https://www.clearancejobs.com,Defense & Space
8,The Gypsy Nurse,http://thegypsynurse.com/,2-10 employees
9,Walmart,http://careers.walmart.com/?codes=Linkedin&utm_source=Linkedin&utm_campaign=ALL&utm_medium=SocialOrganic&utm_term=AboutUs&utm_content=Branding,"10,001+ employees"
10,Google,https://careers.google.com/?src=Online/LinkedIn/linkedin_profilepage&utm_source=linkedin&utm_medium=profilepage&utm_campaign=profilepage,"10,001+ employees"
11,Dollar General,http://www.dollargeneral.com/careers,"10,001+ employees"
12,Microsoft,https://news.microsoft.com/,"10,001+ employees"
13,Amazon Web Services (AWS),http://aws.amazon.com,"10,001+ employees"
14,NurseFly,http://www.nursefly.com,2-10 employees
15,Aerotek,http://www.aerotek.com,"5,001-10,000 employees"
16,"Tutree, Inc.",http://www.tutree.com,2-10 employees
17,Facebook,http://www.facebook.com/careers,"10,001+ employees"
18,Accenture,http://www.accenture.com,"10,001+ employees"
19,VelvetJobs,https://www.velvetjobs.com/outplacement,201-500 employees
20,Pizza Hut,http://pizzahut.com,"10,001+ employees"
21,PwC,http://www.pwc.com,"10,001+ employees"
22,HospitalCareers.com,https://www.hospitalcareers.com,2-10 employees
23,Robert Half,https://www.roberthalf.com,"10,001+ employees"
24,Revature,http://revature.com,"501-1,000 employees"
25,Deloitte,http://www.deloitte.com/global,"10,001+ employees"
26,ClearedJobs.Net,https://ClearedJobs.Net,11-50 employees
27,WeWork,http://www.wework.com,"5,001-10,000 employees"
28,Varsity Tutors,http://www.varsitytutors.com,"501-1,000 employees"
29,CVS Health,https://cvs.co/linkedinprofile,"10,001+ employees"
30,Creative Circle,https://www.creativecircle.com,201-500 employees
31,Verizon,http://www.verizon.com/,"10,001+ employees"
32,Federal Bureau of Investigation (FBI),http://www.fbijobs.gov,"10,001+ employees"
33,"U.S. Xpress, Inc.",http://www.usxpress.com,"5,001-10,000 employees"
34,CRST International,http://www.crst.com,"1,001-5,000 employees"
35,Allied Universal,https://www.aus.com/,"10,001+ employees"
36,Salesforce,http://www.salesforce.com,"10,001+ employees"
37,None,none,NONE
38,Lockheed Martin,https://www.lockheedmartin.com,"10,001+ employees"
39,"Lowe's Companies, Inc.",https://jobs.lowes.com,"10,001+ employees"
40,"Platinum Supplemental Insurance, Inc.",http://www.pltnm.com,51-200 employees
41,KPMG US,http://www.kpmg.com/US,"10,001+ employees"
42,CyberCoders,http://www.cybercoders.com,201-500 employees
43,Taco Bell,http://tacobell.com,"10,001+ employees"
